ai_test_0,19,,,,,,,,,,,,
ai_test_1,18,,,,,,,,,,,,
ai_test_2,18,,,,,,,,,,,,
ai_test_3,15,,,,,,,,,,,,
ai_test_4,15,,,,,,,,,,,,
ai_test_5,10,,,,,,,,,,,,
ai_test_6,10,,,,,,,,,,,,
ai_test_7,16,,,,,,,,,,,,
ai_test_8,16,,,,,,,,,,,,
ai_test_9,15,,,,,,,,,,,,
chaos_test_0,104,,,,,,,,,,,,
chaos_test_1,104,,,,,,,,,,,,
chaos_test_2,101,,,,,,,,,,,,
chaos_test_3,101,,,,,,,,,,,,
chaos_test_4,93,,,,,,,,,,,,
chaos_test_5,76,,,,,,,,,,,,
chaos_test_6,78,,,,,,,,,,,,
chaos_test_7,99,,,,,,,,,,,,
chaos_test_8,99,,,,,,,,,,,,
chaos_test_9,80,,,,,,,,,,,,
django_test_0,109,,,,,,,,,,,,
django_test_1,106,,,,,,,,,,,,
django_test_2,106,,,,,,,,,,,,
django_test_3,103,,,,,,,,,,,,
django_test_4,103,,,,,,,,,,,,
django_test_5,91,,,,,,,,,,,,
django_test_6,90,,,,,,,,,,,,
django_test_7,104,,,,,,,,,,,,
django_test_8,106,,,,,,,,,,,,
django_test_9,87,,,,,,,,,,,,
html5lib_test_0,680,,,,,,,,,,,,
html5lib_test_1,636,,,,,,,,,,,,
html5lib_test_2,568,,,,,,,,,,,,
html5lib_test_3,467,,,,,,,,,,,,
html5lib_test_4,439,,,,,,,,,,,,
html5lib_test_5,379,,,,,,,,,,,,
html5lib_test_6,418,,,,,,,,,,,,
html5lib_test_7,676,,,,,,,,,,,,
html5lib_test_8,844,,,,,,,,,,,,
html5lib_test_9,353,,,,,,,,,,,,
mako_test_0,130,,,,,,,,,,,,
mako_test_1,154,,,,,,,,,,,,
mako_test_2,70,,,,,,,,,,,,
mako_test_3,19,,,,,,,,,,,,
mako_test_4,11,,,,,,,,,,,,
mako_test_5,103,,,,,,,,,,,,
mako_test_6,66,,,,,,,,,,,,
mako_test_7,121,,,,,,,,,,,,
mako_test_8,63,,,,,,,,,,,,
mako_test_9,29,,,,,,,,,,,,
pidigits_test_0,20,,,,,,,,,,,,
pidigits_test_1,20,,,,,,,,,,,,
pidigits_test_2,20,,,,,,,,,,,,
pidigits_test_3,19,,,,,,,,,,,,
pidigits_test_4,19,,,,,,,,,,,,
rietveld_test_0,1279,,,,,,,,,,,,
rietveld_test_1,1175,,,,,,,,,,,, 
rietveld_test_2,1080,,,,,,,,,,,,
rietveld_test_3,702,,,,,,,,,,,,
rietveld_test_4,536,,,,,,,,,,,,
rietveld_test_5,401,,,,,,,,,,,,
rietveld_test_6,791,,,,,,,,,,,,
rietveld_test_7,1100,,,,,,,,,,,,
rietveld_test_8,1227,,,,,,,,,,,,
rietveld_test_9,427,,,,,,,,,,,,
