"","V1","V2","V3","V4","V5"
"1",1,1,1,1,1
"2",1.16560499392249e-19,9.54907041496424e-23,2.93923102459891e-42,0,0
"3",3.81840660916145e-20,7.77923871384206e-21,3.1913021487123e-34,2.48067800706095e-270,0
"4",6.21434193901629e-20,3.12178205704661e-22,1.01520552996836e-44,0,0
"5",0,0,0,0,0
"6",0,2.29624310859243e-18,-1.62969139051727e-18,5.24184645342429e-18,3.56070063480448e-19
"7",0.960555555555556,0.983069725996881,0.8807421875,0.909197916666667,0.909896527777778
"8",0.973333333333333,0.937625306304299,0.7886328125,0.827933333333333,0.912893055555556
"9",0.967777777777778,0.971040320784139,0.907109375,0.890094444444444,0.905339583333333
